"No.","Time","Source","Destination","Protocol","Length","Info"
"1738","55.412994","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"1740","55.423304","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"1742","55.434744","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"1746","55.459848","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"1747","55.476860","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"1750","55.497628","192.168.2.107","5.42.169.125","UDP","130","51791  >  26508 Len=88"
"1753","55.524456","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"1754","55.535043","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"1756","55.546457","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"1758","55.558371","192.168.2.107","5.42.169.125","UDP","86","51791  >  26508 Len=44"
"1760","55.570215","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"1762","55.584291","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"1763","55.596312","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"1765","55.608290","192.168.2.107","5.42.169.125","UDP","86","51791  >  26508 Len=44"
"1768","55.619785","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"1770","55.631861","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"1772","55.645312","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"1773","55.654483","192.168.2.107","5.42.169.125","UDP","86","51791  >  26508 Len=44"
"1775","55.665866","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"1777","55.677676","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"1780","55.689464","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"1782","55.703796","192.168.2.107","5.42.169.125","UDP","86","51791  >  26508 Len=44"
"1783","55.714860","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"1785","55.725162","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"1787","55.737626","192.168.2.107","5.42.169.125","UDP","117","51791  >  26508 Len=75"
"1789","55.748862","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"1791","55.760813","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"1793","55.775038","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"1795","55.784759","192.168.2.107","5.42.169.125","UDP","86","51791  >  26508 Len=44"
"1797","55.796471","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"1798","55.809679","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"1800","55.823106","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"1802","55.834862","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"1804","55.845496","192.168.2.107","5.42.169.125","UDP","86","51791  >  26508 Len=44"
"1806","55.857373","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"1807","55.868724","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"1809","55.881029","192.168.2.107","5.42.169.125","UDP","86","51791  >  26508 Len=44"
"1811","55.898210","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"1813","55.909962","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"1814","55.916679","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"1816","55.929697","192.168.2.107","5.42.169.125","UDP","86","51791  >  26508 Len=44"
"1818","55.941008","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"1820","55.954829","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"1822","55.967571","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
